#TradeId,ResultId,ResultType,ResultValue
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationModelKappas[2],double,0.020000000000
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationModelKappas[3],double,0.020000000000
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationModelKappas[4],double,0.020000000000
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationModelMarketValueDiffs[0],double,0.000000000000
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationModelMarketValueDiffs[1],double,0.000000000000
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationModelMarketValueDiffs[2],double,0.000000000000
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationModelMarketValueDiffs[3],double,0.000000000000
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationModelMarketValueDiffs[4],double,0.000000000000
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationModelMarketVolDiffs[0],double,0.000000000000
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationModelMarketVolDiffs[1],double,0.000000000000
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationModelMarketVolDiffs[2],double,0.000000000000
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationModelMarketVolDiffs[3],double,0.000000000000
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationModelMarketVolDiffs[4],double,0.000000000000
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationModelValues[0],double,0.017491850252
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationModelValues[1],double,0.019665479662
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationModelValues[2],double,0.017663807614
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationModelValues[3],double,0.013261383479
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationModelValues[4],double,0.006886957264
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationModelVols[0],double,0.010224779580
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationModelVols[1],double,0.010384103668
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationModelVols[2],double,0.010424853829
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationModelVols[3],double,0.010262352734
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationModelVols[4],double,0.010386145271
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationTimes[0],double,1.005479452055
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationTimes[1],double,2.005479452055
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationTimes[2],double,3.010958904110
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationTimes[3],double,4.008219178082
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,lgmCalibrationTimes[4],double,5.008219178082
FMM_BERMUDAN_PAYER_USD_SOFR_5Y,underlyingNpv,double,-3870.671461937978
